Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$12.26,0.01,0.082%,79960953724.00,Brazil,,37498467,Energy,Oil & Gas Production
PBT,Permian Basin Royalty Trust Common Stock,$16.25,0.75,4.839%,757392935.00,United States,,209412,Energy,Oil & Gas Production
PDCE,PDC Energy Inc. Common Stock (Delaware),$56.71,4.51,8.64%,5461576095.00,United States,,949999,Energy,Oil & Gas Production
PR,Permian Resources Corporation Class A Common Stock,$6.75,0.41,6.467%,1944025859.00,United States,,6696913,Energy,Oil & Gas Production
PSX,Phillips 66 Common Stock,$81.40,5.18,6.796%,39157559296.00,United States,,5400296,Energy,Integrated oil Companies
PTEN,Patterson-UTI Energy Inc. Common Stock,$11.99,0.60,5.268%,2599692543.00,United States,1993,2393115,Energy,Oil & Gas Production
PUMP,ProPetro Holding Corp. Common Stock,$7.88,0.37,4.927%,822233636.00,United States,2017,812440,Energy,Oilfield Services/Equipment
PXD,Pioneer Natural Resources Company Common Stock,$215.14,8.36,4.043%,51346808484.00,United States,,2799764,Energy,Oil & Gas Production
REI,Ring Energy Inc. Common Stock,$2.37,0.17,7.727%,309477856.00,United States,,1636427,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$18.41,2.11,12.945%,365744787.00,United States,1999,61695,Energy,Oil & Gas Production
RES,RPC Inc. Common Stock,$7.02,0.43,6.525%,1520965534.00,United States,,864528,Energy,Oilfield Services/Equipment
RIG,Transocean Ltd (Switzerland) Common Stock,$2.73,0.25,10.081%,2043979725.00,Switzerland,,33283515,Energy,Oil & Gas Production
ROCC,Ranger Oil Corporation Class A Common Stock,$30.69,2.13,7.458%,607972798.00,United States,,1012150,Energy,Oil & Gas Production
RRC,Range Resources Corporation Common Stock,$24.84,1.15,4.854%,6530091047.00,United States,,3667959,Energy,Oil & Gas Production
SBOW,SilverBow Resorces Inc. Common Stock,$27.40,2.77,11.246%,611198264.00,,,798908,Energy,Oil & Gas Production
SBR,Sabine Royalty Trust Common Stock,$71.63,4.88,7.311%,1044318482.00,United States,,75251,Energy,Oil & Gas Production
SD,SandRidge Energy Inc. Common Stock,$16.27,1.18,7.82%,597789476.00,,2016,1116418,Energy,Oil & Gas Production
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$49.61,1.54,3.204%,178490773370.00,Netherlands,2022,4654712,Energy,Oil & Gas Production
SHLX,Shell Midstream Partners L.P. Common Units representing Limited Partner Interests,$15.83,0.03,0.19%,6225773371.00,United States,2014,888033,Energy,Oilfield Services/Equipment
SJT,San Juan Basin Royalty Trust Common Stock,$9.85,0.56,6.028%,459096641.00,United States,,990113,Energy,Oil & Gas Production
SLB,Schlumberger N.V. Common Stock,$35.44,1.46,4.297%,50125920076.00,France,,12202761,Energy,Oilfield Services/Equipment
SLDP,Solid Power Inc. Class A Common Stock,$5.66,0.16,2.909%,987925051.00,United States,2021,1222549,Energy,Electrical Products
SM,SM Energy Company Common Stock,$37.19,3.03,8.87%,4574370000.00,United States,,2548352,Energy,Oil & Gas Production
SRLP,Sprague Resources LP Common Units representing Limited Partner Interests,$19.89,0.01,0.05%,521878434.00,,2013,52423,Energy,Oil Refining/Marketing
SSL,Sasol Ltd. American Depositary Shares,$16.42,0.08,0.49%,10334208242.00,South Africa,,470450,Energy,Oil & Gas Production
SUN,Sunoco LP Common Units representing limited partner interests,$38.42,1.32,3.558%,3218185986.00,United States,2012,151891,Energy,Oil Refining/Marketing
SWN,Southwestern Energy Company Common Stock,$6.33,0.28,4.628%,7053561139.00,United States,,27710687,Energy,Oil & Gas Production
TA,TravelCenters of America Inc. Common Stock,$56.96,2.51,4.61%,846194456.00,United States,,106199,Energy,Food Chains
TALO,Talos Energy Inc. Common Stock,$16.77,1.19,7.638%,1384698246.00,,2018,1850948,Energy,Oil & Gas Production
TDW,Tidewater Inc. Common Stock,$21.85,0.55,2.582%,998764330.00,United States,2017,236328,Energy,Oilfield Services/Equipment
TELL,Tellurian Inc. Common Stock,$2.51,0.11,4.583%,1417790139.00,United States,,16818547,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$1766.52,80.67,4.785%,13641722819.00,United States,,21206,Energy,Oil & Gas Production
TTE,TotalEnergies SE,$46.22,0.71,1.56%,118492613309.00,France,,3627214,Energy,Oil & Gas Production
TTI,Tetra Technologies Inc. Common Stock,$3.57,0.22,6.567%,457871874.00,United States,,676630,Energy,Oil & Gas Production
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$2.26,0.00,0.00%,2461114363.00,Brazil,,1350305,Energy,Oil Refining/Marketing
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,$17.36,1.17,7.227%,1700250812.00,United States,2013,103142,Energy,Oilfield Services/Equipment
VAL,Valaris Limited Common Shares,$50.51,2.72,5.692%,3797268409.00,,2021,1187777,Energy,Oil & Gas Production
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,$9.41,0.76,8.786%,814035236.00,,2019,637160,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$108.80,7.63,7.542%,42863973210.00,United States,,4071404,Energy,Integrated oil Companies
VNOM,Viper Energy Partners LP Common Unit,$28.60,2.38,9.077%,2150956093.00,United States,2014,461614,Energy,Oil & Gas Production
VTNR,Vertex Energy Inc Common Stock,$6.70,0.59,9.656%,506579134.00,United States,,3537129,Energy,Oilfield Services/Equipment
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,$20.85,0.89,4.459%,39588932725.00,,2022,693535,Energy,Oil & Gas Production
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,$25.35,1.90,8.102%,9796509528.00,United States,2012,1569915,Energy,Oilfield Services/Equipment
WTI,W&T Offshore Inc. Common Stock,$5.88,0.44,8.088%,841747790.00,United States,2005,3707325,Energy,Oil & Gas Production
WTTR,Select Energy Services Inc. Class A Common Stock,$6.88,0.38,5.846%,786626204.00,United States,2017,525709,Energy,Oil & Gas Production
XOM,Exxon Mobil Corporation Common Stock,$88.86,3.12,3.639%,370336161174.00,United States,,19532437,Energy,Oil & Gas Production
XPRO,Expro Group Holdings N.V. Common Stock,$12.67,0.78,6.56%,1377265097.00,,2013,554452,Energy,Oilfield Services/Equipment
YPF,YPF Sociedad Anonima Common Stock,$6.39,0.18,2.899%,2513268747.00,Argentina,1993,1975520,Energy,Integrated oil Companies
