REED,0.1341,0.13491,0.14967499999999997,362009.85,37.72127785570688,0.0001673673521631943,80.508,False
YQ,0.97,1.304,1.487,107998.45,18.82694694322224,-0.05253048835060867,80.932,False
PTPI,0.435,0.48867000000000005,0.5326,54583.8,22.232762061443097,-0.001044886165247276,65.835,False
MTC,1.26,1.392,1.4969999999999999,96933.05,36.1232012270847,-0.0011793725116238107,68.058,False
BUSE,22.76,22.687,23.003999999999998,138906.05,46.00876619218724,0.022771325089299826,25.341,False
FBIO,0.8547,0.8597699999999999,0.8981600000000001,191144.7,40.22518511672255,0.0065040222759344055,65.56,False
EWBC,70.71,70.143,70.97049999999999,756305.5,48.294447788180655,0.28903159308830206,36.278,False
OP,0.3004,0.32344,0.35459,363487.2,29.89261479584556,-0.003754126524897903,56.553,False
EEIQ,0.8403,0.97711,1.189555,6994.9,27.766885764842115,-0.019034000382111782,109.65,False
IDXX,324.72,336.07399999999996,337.83450000000005,555867.8,38.6485547944907,0.9480231941843069,36.434,False
MNSB,22.61,22.961,23.313,5946.45,33.000548730267056,-0.06722705370246829,13.382,False
UDMY,13.27,12.909,13.212,654105.6,47.990081355044914,0.08998192646887576,62.897,False
MIGI,0.4693,0.44443,0.52152995,368910.2,38.55029342054013,0.006676316961465603,106.701,False
MON,9.89,9.889,9.875,17367.55,57.34649352862796,0.0029254697699127967,1.473,False
FRLN,0.6303,0.70222,0.755255,32415.6,31.13537721889419,-0.0033498261184990025,64.288,False
CSQ,12.59,12.794,13.229,303462.85,33.95190740749008,0.0319079417732393,29.275,False
NWFL,26.95,26.8485,26.90775,8587.75,54.46596985372406,-0.04215280438556407,23.353,False
PRTG,6.52,6.631,7.0120000000000005,16342.2,41.74459606078352,0.005529500331850512,83.95,False
QQJG,16.836,17.238030000000002,17.60098,846.8,37.00488052772415,0.030748248773531717,29.791,False
AMTI,1.12,1.06207,1.132035,141822.35,42.90498085062145,0.03801608754042521,104.41,False
DILA,9.94,9.94,9.931000000000001,1796.75,63.400956452025355,-0.00021009610649670718,2.335,False
SAI,4.44,3.787,4.9030000000000005,690639.45,47.10576592224922,0.020399512638250794,234.308,False
QQQX,21.08,21.384,21.524,183392.15,41.6397721194689,0.1123122554142636,35.022,False
ALBO,20.47,19.716,18.842,509861.25,58.01111774135534,0.31089145946422186,62.437,False
RIVN,31.48,34.06,35.397,20590837.6,40.74374611479636,-0.2166811774336609,73.715,False
PEPL,9.99,9.99001,9.983005,21526.6,64.69329446115795,-0.001856523366406149,1.233,False
EZPW,7.79,7.9,8.0445,327843.9,38.20495718804586,0.001558685734134313,23.949,False
SEVN,9.24,9.308,9.6645,24323.85,35.79963061145736,-0.013006962755842566,27.724,False
EVO,8.3,8.814,9.233749999999999,37681.4,33.63432104983838,0.07230106037943007,53.412,False
COMS,0.0618,0.07524,0.08829000000000001,8691745.5,32.417757879206874,-0.0009773167422179457,133.179,False
RELI,0.7797,0.80916,0.826675,540020.55,43.355849326766766,0.0052582450856546,67.52,False
HRMY,47.3,45.859,44.7825,519002.7,57.241257153752294,0.6557529144305297,35.522,False
NRXP,0.7699,0.75193,0.7378549999999999,244453.0,56.54319934781444,0.006206443933971479,69.618,False
FKU,26.11,26.118000000000002,27.3545,17246.0,40.93235891109874,0.07139474835884196,49.753,False
ARRW,9.85,9.837,9.8295,33983.15,60.72078902941718,0.0035567990375328998,1.607,False
NTRS,85.33,87.44,89.8775,994443.1,35.92644529588985,-0.026241912729998873,29.441,False
PACB,5.74,6.0115,5.92125,6109763.15,47.033964941341075,0.054489702277811844,100.666,True
MTSI,54.13,54.891999999999996,54.61099999999999,454589.55,46.7129755813562,0.33595931926377,38.422,True
SPRO,1.96,2.0060000000000002,1.6363299999999998,16467473.05,61.48424175930743,0.00016760008130145554,337.627,False
WATT,1.02,1.049,1.1090000000000002,203280.65,35.19753896839826,-0.0007325704694574331,50.966,False
CTKB,13.95,14.632000000000001,13.898000000000001,973877.2,50.20983263825742,0.08364146546222245,65.877,False
EXPE,92.69,95.33399999999999,98.024,2694298.8,41.11697802326559,-0.0016727699848400057,50.236,False
PGRW,10.02,9.994,9.987,43637.5,77.85882714089985,0.0014509202712107289,1.017,False
INKA,10.08,10.060500000000001,10.04969,8732.2,63.185630884756925,0.0035487389096400556,1.666,False
VIOT,0.92,1.1239999999999999,1.16075,37846.4,22.05187881493417,-0.011714024677749693,53.274,False
MLAC,10.32,10.284,10.27665,10443.4,60.564455429993664,-0.0008150092664588084,3.728,False
SHAC,9.9,9.88399,9.875995,27835.3,64.76458362349366,0.0023300832997533412,1.323,False
SIRI,5.93,5.879,5.907,15679274.1,46.693657938596814,0.02358170875532374,23.545,False
RCKT,16.72,15.950999999999999,14.7785,1574368.15,56.862951265686455,0.4451010495340714,94.431,False
